,아파트,가격,지역
0,송정한신,10900,강원도 강릉시 견소동
1,송정한신,18500,강원도 강릉시 견소동
2,송정해변신도브래뉴아파트,25000,강원도 강릉시 견소동
3,송정해변신도브래뉴아파트,20600,강원도 강릉시 견소동
4,송정해변신도브래뉴아파트,20500,강원도 강릉시 견소동
5,강릉 교동 풍림아이원 아파트,29200,강원도 강릉시 교동
6,강릉교동롯데캐슬1단지,34300,강원도 강릉시 교동
7,강릉교동롯데캐슬2단지,32500,강원도 강릉시 교동
8,교동1주공,16200,강원도 강릉시 교동
9,교동1주공,21550,강원도 강릉시 교동
10,교동1주공,21800,강원도 강릉시 교동
11,교동1주공,17500,강원도 강릉시 교동
12,교동1주공,20300,강원도 강릉시 교동
13,교동1주공,18600,강원도 강릉시 교동
14,교동2현대,20400,강원도 강릉시 교동
15,교동2현대,22500,강원도 강릉시 교동
16,교동3주공,16600,강원도 강릉시 교동
17,교동3주공,16100,강원도 강릉시 교동
18,교동3주공,17300,강원도 강릉시 교동
19,교동3주공,16150,강원도 강릉시 교동
20,교동이-편한세상,25000,강원도 강릉시 교동
21,교동이-편한세상,25000,강원도 강릉시 교동
22,교동이-편한세상,32500,강원도 강릉시 교동
23,부영3차,20000,강원도 강릉시 교동
24,부영3차,17300,강원도 강릉시 교동
25,부영3차,16800,강원도 강릉시 교동
26,부영3차,19000,강원도 강릉시 교동
27,부영3차,19600,강원도 강릉시 교동
28,부영3차,20300,강원도 강릉시 교동
29,부영3차,19400,강원도 강릉시 교동
30,부영5,19500,강원도 강릉시 교동
31,부영5,19600,강원도 강릉시 교동
32,부영6,20000,강원도 강릉시 교동
33,부영6,20000,강원도 강릉시 교동
34,부영6,16950,강원도 강릉시 교동
35,서일2,4600,강원도 강릉시 교동
36,한신,13200,강원도 강릉시 교동
37,현대,14700,강원도 강릉시 교동
38,현대하이빌,28500,강원도 강릉시 교동
39,삼익그린맨션,21000,강원도 강릉시 남문동
40,내곡동현대,14500,강원도 강릉시 내곡동
41,내곡동현대,17100,강원도 강릉시 내곡동
42,내곡동현대,15100,강원도 강릉시 내곡동
43,내곡시영,4000,강원도 강릉시 내곡동
44,내곡한라,11700,강원도 강릉시 내곡동
45,노암2주공,4200,강원도 강릉시 노암동
46,노암3한라,7400,강원도 강릉시 노암동
47,노암3한라,10700,강원도 강릉시 노암동
48,노암3한라,9700,강원도 강릉시 노암동
49,노암3한라,6000,강원도 강릉시 노암동
50,노암3한라,13000,강원도 강릉시 노암동
51,노암남산현대,15700,강원도 강릉시 노암동
