,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,단가
26805,부산광역시 해운대구 우동,1407,1407,0,해운대두산위브더제니스,209.8332,201910,16,376640,70,2011,마린시티2로 33,1794.949512279277
24692,부산광역시 남구 대연동,1808,1808,0,대연비치,42.93,201910,23,45000,9,1984,황령대로 504,1048.2180293501049
26293,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,12,43000,8,1979,광안해변로 100,1035.6454720616568
26305,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,26,43000,9,1979,광안해변로 100,1035.6454720616568
26301,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,21,42750,7,1979,광안해변로 100,1029.6242774566474
26748,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,108.51,201910,9,111000,26,2006,센텀동로 9,1022.9471938070224
26745,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,84.98,201910,3,84500,10,2006,센텀동로 9,994.3516121440339
26285,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,7,40000,6,1979,광안해변로 100,963.3911368015414
26751,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,84.97,201910,18,81500,14,2006,센텀동로 9,959.1620571966577
26754,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,109.57,201910,26,105000,26,2006,센텀동로 9,958.2915031486722
26302,부산광역시 수영구 남천동,148-4,148,4,삼익비치,84.83,201910,22,79500,8,1979,광안해변로 100,937.1684545561712
26825,부산광역시 해운대구 우동,1536,1536,0,해운대자이2차 1단지,84.988,201910,2,79500,29,2018,해운대로469번길 110,935.4261778133383
26753,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,84.98,201910,26,78000,18,2006,센텀동로 9,917.8630265944928
26747,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,84.97,201910,5,77700,10,2006,센텀동로 9,914.4403907261386
26296,부산광역시 수영구 남천동,148-4,148,4,삼익비치,41.52,201910,16,37800,8,1979,광안해변로 100,910.4046242774566
26750,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,84.97,201910,14,76500,11,2006,센텀동로 9,900.3177592091326
24822,부산광역시 남구 용호동,954,954,0,더블유,110.2606,201910,30,98000,51,2018,분포로 145,888.8034347718043
26300,부산광역시 수영구 남천동,148-4,148,4,삼익비치,60.83,201910,19,54000,8,1979,광안해변로 100,887.7198750616473
26746,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,132.11,201910,4,116000,33,2006,센텀동로 9,878.0561653167814
26287,부산광역시 수영구 남천동,148-4,148,4,삼익비치,148.2,201910,9,130000,5,1979,광안해변로 100,877.1929824561404
26752,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,97.58,201910,25,85000,9,2006,센텀동로 9,871.0801393728223
26818,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,59.526,201910,20,50900,16,2013,해운대로 435,855.0885327419951
26299,부산광역시 수영구 남천동,148-4,148,4,삼익비치,61.09,201910,18,52000,12,1979,광안해변로 100,851.2031429039122
26278,부산광역시 수영구 남천동,148-4,148,4,삼익비치,84.83,201910,2,72000,11,1979,광안해변로 100,848.7563362018154
26803,부산광역시 해운대구 우동,1407,1407,0,해운대두산위브더제니스,168.8988,201910,10,143000,50,2011,마린시티2로 33,846.6608406927699
26286,부산광역시 수영구 남천동,148-4,148,4,삼익비치,148.2,201910,7,125000,3,1979,광안해변로 100,843.454790823212
26815,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,59.526,201910,9,50000,6,2013,해운대로 435,839.9690891375197
26304,부산광역시 수영구 남천동,148-4,148,4,삼익비치,73.92,201910,25,62000,8,1979,광안해변로 100,838.7445887445888
26292,부산광역시 수영구 남천동,148-4,148,4,삼익비치,60.83,201910,11,51000,9,1979,광안해변로 100,838.4021042248891
26749,부산광역시 해운대구 우동,1498,1498,0,대우트럼프월드센텀,97.58,201910,9,81500,5,2006,센텀동로 9,835.2121336339414
24487,부산광역시 금정구 장전동,745,745,0,래미안장전,59.9092,201910,11,50000,22,2017,금정로 20,834.5963558184719
24496,부산광역시 금정구 장전동,745,745,0,래미안장전,59.9092,201910,20,50000,23,2017,금정로 20,834.5963558184719
26811,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,59.526,201910,4,49500,12,2013,해운대로 435,831.5693982461445
24492,부산광역시 금정구 장전동,745,745,0,래미안장전,59.9092,201910,19,49800,25,2017,금정로 20,831.2579703951981
24490,부산광역시 금정구 장전동,745,745,0,래미안장전,59.9092,201910,12,49500,36,2017,금정로 20,826.2503922602873
26809,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,59.0621,201910,1,48800,22,2013,해운대로 435,826.2489820036876
26283,부산광역시 수영구 남천동,148-4,148,4,삼익비치,84.83,201910,5,70000,10,1979,광안해변로 100,825.1797713073205
26297,부산광역시 수영구 남천동,148-4,148,4,삼익비치,84.83,201910,17,70000,2,1979,광안해변로 100,825.1797713073205
26288,부산광역시 수영구 남천동,148-4,148,4,삼익비치,84.83,201910,9,70000,9,1979,광안해변로 100,825.1797713073205
25072,부산광역시 동래구 사직동,1041,1041,0,사직롯데캐슬더클래식,124.7364,201910,31,102500,10,2017,아시아드대로146번길 1,821.7328702768398
24645,부산광역시 남구 대연동,1903,1903,0,대연 SK VIEW Hills,59.9975,201910,29,49000,25,2018,수영로 261,816.7006958623276
26814,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,84.9493,201910,7,69000,8,2013,해운대로 435,812.249188633691
26280,부산광역시 수영구 남천동,148-4,148,4,삼익비치,73.92,201910,4,60000,8,1979,광안해변로 100,811.6883116883116
24500,부산광역시 금정구 장전동,745,745,0,래미안장전,114.7362,201910,28,93000,32,2017,금정로 20,810.5549948490537
26732,부산광역시 해운대구 우동,1388-4,1388,4,대우마리나1,84.2249,201910,12,68000,9,1991,해운대해변로 117,807.3621933656199
24495,부산광역시 금정구 장전동,745,745,0,래미안장전,59.9092,201910,20,48000,10,2017,금정로 20,801.2125015857331
24483,부산광역시 금정구 장전동,745,745,0,래미안장전,59.9092,201910,4,47800,14,2017,금정로 20,797.8741161624592
26727,부산광역시 해운대구 우동,1388-1,1388,1,경남마리나,59.83,201910,29,47700,9,1996,해운대해변로 99,797.2589002172823
24698,부산광역시 남구 대연동,1808,1808,0,대연비치,42.93,201910,31,34165,13,1984,황령대로 504,795.8304216165851
26812,부산광역시 해운대구 우동,1527,1527,0,해운대자이 1단지,59.0621,201910,4,47000,20,2013,해운대로 435,795.7725851265025
